County,Home_value,Population,Hospital,Hopt_score,School_district,Edu_score,Fips,Sample_city,Latitude,Longitude,Area_avg_hopt,Area_best_hopt,Area_avg_edu,Area_best_edu
San Mateo,1714804.74,771019,7.0,53.53,6.0,3.38,06081,San Mateo,37.570384999999995,-122.32043999999999,72.408,94.3,3.44,3.7
Marin,1697171.79,259548,4.0,32.7,4.0,3.32,06041,Novato,38.117065000000004,-122.56316000000001,54.59400000000001,94.3,3.306,3.7
Santa Clara,1666927.08,1945940,12.0,81.89,11.0,3.69,06085,Palo Alto,37.381144,-122.334825,63.102,94.3,3.4619999999999997,3.7
Orange,1154432.99,3198000,31.0,200.64,13.0,3.84,06059,Trabuco Canyon,33.639227000000005,-117.58518000000001,95.534,200.64,3.336,3.84
Alameda,1118288.28,1684000,17.0,53.53,11.0,3.28,06001,Hayward,37.635582,-122.10418,72.408,94.3,3.44,3.7
San Francisco,1113664.0,891583,14.0,94.3,1.0,3.7,06075,San Francisco,37.784827,-122.727802,68.24199999999999,94.3,3.4479999999999995,3.7
Napa,1104420.12,137479,3.0,32.26,3.0,3.2,06055,Saint Helena,38.511241,-122.45695,42.45200000000001,78.79,3.178,3.32
Ventura,996715.9,851297,8.0,41.56,8.0,3.5,06111,Piru,34.424363,-118.73908,72.228,200.64,3.344,3.84
Los Angeles,956710.11,10079000,101.0,345.99,42.0,3.57,06037,Alhambra,38.884434000000006,-89.74886,99.968,345.99,2.868,3.57
Santa Barbara,951777.21,448369,6.0,40.68,6.0,3.07,06083,Santa Barbara,34.428191,-119.68412,38.552,44.67,3.176,3.5
Santa Cruz,826179.42,272555,3.0,32.26,5.0,3.26,06087,Scotts Valley,37.05297,-121.949418,50.516000000000005,81.89,3.282,3.69
Contra Costa,801482.13,1160920,8.0,78.79,8.0,3.15,06013,El Sobrante,37.969673,-122.29413000000001,62.57000000000001,94.3,3.3659999999999997,3.7
Sonoma,763275.07,493334,9.0,34.92,11.0,3.16,06097,Rio Nido,38.522498999999996,-122.97967,45.2,94.3,3.2560000000000002,3.7
San Luis Obispo,686071.25,286354,6.0,33.59,4.0,3.4,06079,San Luis Obispo,35.347065,-120.455345,39.44,46.0,3.176,3.5
San Diego,667722.9,3379160,26.0,146.58,15.0,3.43,06073,Fallbrook,33.016928,-116.846046,95.53399999999999,200.64,3.336,3.84
San Benito,646318.94,64213,1.0,31.37,3.0,2.8,06069,Paicines,36.504585999999996,-121.01515,35.184,46.0,3.062,3.5
Monterey,638209.33,435828,4.0,46.0,4.0,3.5,06053,Jolon,36.015388,-121.24838999999999,35.096,46.0,3.1919999999999997,3.5
Placer,615520.86,408317,3.0,49.98,3.0,3.77,06061,Lincoln,40.784451000000004,-96.688799,98.726,345.99,3.072,3.77
Alpine,606164.08,1061,0.0,0.0,0.0,0.0,06003,Markleeville,38.76467,-119.85236,25.276,31.82,2.5200000000000005,3.3
Solano,529907.11,452076,6.0,33.59,5.0,3.06,06095,Travis Afb,38.3105,-121.9018,53.617999999999995,90.75,3.1380000000000003,3.32
San Joaquin,519276.96,772948,8.0,34.47,7.0,3.06,06077,Lathrop,39.535467,-94.30633,98.726,345.99,3.072,3.77
Sacramento,503415.51,1567490,15.0,90.75,8.0,2.96,06067,Sacramento,38.377410999999995,-121.444429,43.690000000000005,90.75,2.9799999999999995,3.33
Nevada,500068.67,100082,2.0,31.82,2.0,3.0,06057,Truckee,39.3781,-120.186383,19.002000000000002,31.82,2.46,3.15
Mendocino,473933.92,87424,3.0,32.26,7.0,2.79,06045,Fort Bragg,35.050612,-78.80384000000001,94.918,345.99,2.896,3.57
Yolo,440393.23,224472,2.0,31.82,6.0,2.77,06113,Brooks,44.554501,-69.12604,32.083999999999996,33.15,2.7359999999999998,2.9
El Dorado,416138.67,194590,2.0,31.82,4.0,3.15,06017,South Lake Tahoe,38.844909,-120.042996,19.002,31.82,2.46,3.15
Riverside,401149.24,2517830,18.0,57.07,14.0,2.85,06065,Perris,33.752886,-116.055617,95.534,200.64,3.336,3.84
Stanislaus,396380.22,558911,7.0,34.03,12.0,2.75,06099,Denair,37.552329,-120.78463,31.902000000000005,34.03,2.9199999999999995,3.3
Humboldt,396029.73,136065,5.0,33.15,6.0,2.85,06023,Kneeland,40.691578,-123.87189,31.816000000000003,33.15,2.242,2.98
Madera,389961.38,161208,2.0,31.82,5.0,2.72,06039,Madera,40.841761,-78.46167,36.958,56.19,2.732,2.9
Calaveras,360397.18,45522,1.0,31.37,2.0,2.85,06009,Angels Camp,38.087437,-120.58072,43.778,90.75,2.9120000000000004,3.3
Sutter,338882.42,97545,1.0,31.37,3.0,3.33,06101,Nicolaus,38.868919,-121.56398,37.416000000000004,90.75,2.896,3.33
Yuba,321297.68,80573,1.0,31.37,2.0,2.5,06115,Marysville,40.306924,-83.36064499999999,99.438,345.99,2.8400000000000003,3.57
Glenn,318580.06,28229,1.0,31.37,5.0,2.68,06021,Hamilton City,39.738889,-122.01675,27.577999999999996,42.89,2.656,3.02
Del Norte,315648.42,28628,1.0,31.37,0.0,0.0,06015,Smith River,41.949739,-124.15098,31.816000000000003,33.15,2.242,2.98
Trinity,308292.71,12153,1.0,31.37,3.0,2.53,06105,Trinity Center,41.004651,-122.71541,31.816000000000003,33.15,2.7779999999999996,2.98
Mariposa,307620.53,17539,1.0,31.37,1.0,3.0,06043,Catheys Valley,37.432168,-120.09682,32.7,35.36,2.928,3.3
Plumas,304560.56,18932,3.0,32.26,1.0,2.3,06063,Crescent Mills,40.074042,-120.93973000000001,27.668,42.89,2.8,3.02
Merced,290218.98,281615,2.0,31.82,5.0,2.66,06047,Atwater,39.346468,-89.73278,99.968,345.99,2.868,3.57
Sierra,280338.38,2943,0.0,0.0,1.0,3.0,06091,Sierraville,39.560357,-120.35661999999999,19.18,32.26,2.29,3.15
Lake,272173.83,64822,2.0,31.82,3.0,2.9,06033,Lakeport,39.051697999999995,-122.92071000000001,26.339999999999996,34.92,3.0020000000000002,3.32
Shasta,269925.13,181042,5.0,33.15,6.0,2.9,06089,Redding,41.301007,-73.39856999999999,32.083999999999996,33.15,2.7359999999999998,2.9
Fresno,266818.25,1010120,10.0,35.36,13.0,2.74,06019,Reedley,36.608675,-119.43761,35.272000000000006,44.67,2.864,3.0
Tuolumne,265506.78,55539,1.0,31.37,2.0,3.3,06109,Twain Harte,38.055888,-120.23002,31.901999999999997,34.03,2.9200000000000004,3.3
Inyo,258411.88,18065,2.0,31.82,4.0,2.6,06027,Little Lake,36.626033,-117.218616,35.362,44.67,2.784,3.0
Imperial,246384.33,182333,2.0,31.82,5.0,3.06,06025,Ocotillo,32.722049,-115.95998,95.534,200.64,3.336,3.84
San Bernardino,241233.91,2208400,27.0,56.19,16.0,2.75,06071,Essex,41.17569,-88.17268,99.348,345.99,2.7560000000000002,3.57
Mono,224838.75,14280,1.0,31.37,2.0,3.15,06051,Topaz,38.651140999999996,-119.49873999999998,25.276,31.82,2.52,3.3
Kings,214366.17,154706,3.0,32.26,2.0,3.0,06031,Kettleman City,36.015318,-120.00771999999999,35.45,44.67,2.97,3.4
Butte,212061.22,235354,3.0,42.89,5.0,3.02,06007,Paradise,39.723898,-121.57298600000001,27.578000000000003,42.89,2.656,3.02
Tulare,205323.98,471389,3.0,32.7,9.0,2.67,06107,Kaweah,36.472713,-118.902899,35.272000000000006,44.67,2.864,3.0
Tehama,203896.02,64312,1.0,31.37,4.0,2.85,06103,Corning,39.918271000000004,-122.21393,27.577999999999996,42.89,2.656,3.02
Amador,199804.17,41047,1.0,31.37,1.0,2.7,06005,Ione,38.346132,-120.94516000000002,43.246,90.75,3.0280000000000005,3.33
Siskiyou,190465.3,43604,2.0,31.82,5.0,2.98,06093,Scott Bar,41.734832,-123.07218,31.906,33.15,2.232,2.98
Kern,181503.83,912316,11.0,44.67,8.0,2.91,06029,Bakersfield,35.487491,-119.00896000000002,37.31,44.67,2.964,3.5
Colusa,173816.42,21531,0.0,0.0,3.0,2.43,06011,Colusa,39.254875,-122.04571999999999,27.4,42.89,2.862,3.33
Lassen,169189.8,30160,1.0,31.37,3.0,2.3,06035,Janesville,42.646089,-92.473,40.766,56.19,2.908,3.77
Modoc,147311.35,8635,2.0,31.82,2.0,2.8,06049,Adin,41.190742,-120.90293999999999,33.942,42.89,2.6999999999999997,3.02
